ID,ITEM
1,Батончик
1,Энергетик
1,Энергетик
1,Энергетик
1,Энергетик
2,Пакет
2,Энергетик
2,Энергетик
2,Батончик
2,Индейка
2,Говядина
3,Майонез
3,Круассан
4,Масло
4,Курица
4,Сыр
4,Кетчуп
4,Приправы
4,Хлеб
4,Перцы
4,Помидоры
4,Салат листовой
4,Творог
4,Печенье
4,Сухарики
4,Сливки
5,Вода
5,Чипсы
5,Печенье
6,Шоколадные грибы
6,Круассан
7,Шоколадные грибы
7,Сухарики
8,Батончик
8,Шоколадные грибы
8,Лапша БП
8,Сухарики
8,Круассан
9,Сухарики
10,Печенье
10,Апельсины
10,Хлеб
11,Хурма
11,Конфеты
12,Вода
13,Пиво
13,Сигареты
14,Вафли
14,Сигареты
14,Сигареты
15,Картофель
16,Курица
17,Пиво
18,Энергетик
19,Пиво
19,Сухарики
20,Яблоки
20,Картофель
20,Лук
20,Йогурт
20,Мясо
20,Корнишоны
20,Масло
20,Рис
20,Чеснок
20,Приправы
21,Морковь
21,Мясо
21,Творог
21,Бананы
21,Яблоки
21,Лимоны
21,Батончик
21,Йогурт
21,Помидоры
21,Огурцы
22,Печень трески
22,Макароны
22,Хлеб
22,Шоколадные грибы
22,Яйца
22,Растительное молоко
22,Сметана
22,Печень куриная
22,Лук
22,Шоколад
22,Бананы
22,Грибы
23,Шоколадные грибы
23,Сухарики
23,Круассан
24,Шоколадные грибы
24,Сухарики
24,Булочка
25,Шоколадные грибы
25,Сухарики
25,Булочка
26,Фарш куриный
26,Растительное молоко
26,Хлеб
26,Шоколадные грибы
26,Творог
26,Козинаки
26,Макароны
26,Бананы
27,Яйца
27,Бананы
27,Форель
27,Лук
27,Фольга
27,Специи
27,Вино
28,Хлеб
28,Молоко
28,Сыр
29,Гречка
29,Куриный яйца
29,Картофель
29,Печенье
29,Киви
29,Конфеты
29,Конфеты
30,Сушки
30,Мандарины
30,Конфеты
30,Конфеты
30,Конфеты
30,Конфеты
30,Сыр плавленый
30,Печенье
30,Макароны
30,Вафли
30,Маргарин
30,Макароны
30,Макароны
30,Макароны
31,Сушки
31,Цикорий
31,Семечки
31,Соус соевый
31,Скатерть
31,Контейнер
32,Пицца
32,Булочка
32,Растворимый кофе
33,Энергетик
33,Булочка
33,Булочка
33,Вода
34,Шоколадные грибы
34,Сухарики
35,Шоколадные грибы
35,Сухарики
36,Пакет
36,Сыр
36,Рыба
36,Пиво
36,Вода
36,Шоколадный батончик
36,Печенье
36,Шоколадное пироженое
36,Хлеб
36,Колбаса
36,Креветки
37,Пакет
37,Молоко
37,Освежитель
37,Крем
37,Масло
37,Курица
37,Чипсы
37,Майонез
37,Водка
37,Хлеб
37,Рыба
37,Шоколадный батончик
37,Шоколадная паста
37,Бананы
37,Сыр
37,Гранат
37,Шоколадное пироженое
37,Пиво
37,Горошек
37,Яйца
38,Пакет
38,Сок
38,Хлеб
38,Майонез
38,Рис
38,Филе
39,Чай
39,Вафли
40,Сок
40,Печенье
40,Курица
40,Виноград
41,Хрен
41,Йогурт
41,Кетчуп
41,ЯБлоки
41,Огурцы
41,Помидоры
41,Кефир
41,Творог
41,Молоко
42,Квас
42,Баранки
42,Молоко
42,Молоко
42,Яйца
42,Творог
42,Творог
42,Творог
